t(s); x(m); y(m); z(m)
5.12;0.225124373;-2.97446239;0.224270761
5.13;0.243683719;-2.970037816;0.242599231
5.14;0.262194921;-2.965262278;0.260841506
5.15;0.280654316;-2.960136466;0.278991106
5.16;0.299058246;-2.954661122;0.297041582
5.17;0.317403066;-2.948837038;0.31498652
5.18;0.335685137;-2.942665056;0.332819545
5.19;0.353900834;-2.93614607;0.35053432
5.2;0.372046541;-2.929281024;0.368124553
5.21;0.390118653;-2.922070909;0.385583992
5.22;0.40811358;-2.914516769;0.402906436
5.23;0.426027742;-2.906619697;0.420085728
5.24;0.443857574;-2.898380834;0.437115767
5.25;0.461599524;-2.889801373;0.4539905
5.26;0.479250054;-2.880882554;0.470703932
5.27;0.496805644;-2.871625667;0.487250126
5.28;0.514262787;-2.86203205;0.503623202
5.29;0.531617994;-2.85210309;0.519817343
5.3;0.548867791;-2.841840223;0.535826795
5.31;0.566008723;-2.831244931;0.551645871
5.32;0.583037353;-2.820318747;0.567268949
5.33;0.599950263;-2.80906325;0.58269048
5.34;0.616744052;-2.797480065;0.597904983
5.35;0.633415342;-2.785570867;0.612907054
5.36;0.649960772;-2.773337376;0.627691361
5.37;0.666377006;-2.760781359;0.642252653
5.38;0.682660724;-2.747904631;0.656585756
5.39;0.698808634;-2.734709049;0.670685577
5.4;0.714817461;-2.721196521;0.684547106
5.41;0.730683957;-2.707368997;0.698165419
5.42;0.746404897;-2.693228473;0.711535677
5.43;0.761977078;-2.678776991;0.72465313
5.44;0.777397324;-2.664016635;0.737513117
5.45;0.792662484;-2.648949537;0.75011107
5.46;0.807769431;-2.633577869;0.762442511
5.47;0.822715066;-2.61790385;0.77450306
5.48;0.837496317;-2.60192974;0.786288432
5.49;0.852110137;-2.585657843;0.79779444
5.5;0.86655351;-2.569090505;0.809016994
5.51;0.880823446;-2.552230115;0.819952109
5.52;0.894916986;-2.535079102;0.830595899
5.53;0.908831197;-2.517639939;0.840944582
5.54;0.922563178;-2.499915139;0.850994482
5.55;0.936110059;-2.481907255;0.860742027
5.56;0.949469;-2.46361888;0.870183755
5.57;0.962637191;-2.445052648;0.87931631
5.58;0.975611856;-2.426211233;0.888136449
5.59;0.98839025;-2.407097347;0.896641037
5.6;1.000969659;-2.387713741;0.904827052
5.61;1.013347406;-2.368063203;0.912691587
5.62;1.025520844;-2.348148561;0.920231847
5.63;1.037487362;-2.327972679;0.927445153
5.64;1.049244383;-2.307538459;0.934328942
5.65;1.060789364;-2.286848838;0.940880769
5.66;1.072119799;-2.265906789;0.947098305
5.67;1.083233216;-2.244715322;0.952979342
5.68;1.09412718;-2.223277482;0.958521789
5.69;1.104799294;-2.201596348;0.963723678
5.7;1.115247194;-2.179675032;0.968583161
5.71;1.125468557;-2.157516682;0.973098511
5.72;1.135461098;-2.135124478;0.977268124
5.73;1.145222566;-2.112501632;0.981090517
5.74;1.154750754;-2.08965139;0.984564335
5.75;1.164043489;-2.066577029;0.987688341
