t_interpolado,tray_x_interpolado,tray_y_interpolado,tray_z_interpolado
4.68,-0.5829035644964874,-2.81955273353552,-0.5664428835359121
4.69,-0.5658571622324454,-2.8304484935256657,-0.5507545361325961
4.7,-0.5486993948135025,-2.8410179663432817,-0.5348744751381213
4.71,-0.5314338546640093,-2.8512598659771498,-0.5188088848618786
4.72,-0.5140641342083168,-2.861172906416051,-0.5025639496132601
4.73,-0.4965938258707757,-2.870755801648767,-0.4861458537016568
4.74,-0.4790265220757405,-2.880007265664078,-0.46956078143646374
4.75,-0.46136581524756143,-2.888926012450765,-0.4528149171270719
4.76,-0.44361529781059017,-2.89751075599761,-0.43591444508287325
4.77,-0.4257785621891784,-2.9057602102933933,-0.41886554961326045
4.78,-0.40785920080767624,-2.913673089326898,-0.4016744150276239
4.79,-0.38986080609043855,-2.921248107086902,-0.38434722563535906
4.8,-0.37178697046181536,-2.9284839775621876,-0.36689016574585664
4.81,-0.3536412863461585,-2.935379414741537,-0.34930941966850904
4.82,-0.33542734616781783,-2.9419331326137304,-0.3316111717127067
4.83,-0.3171487423511484,-2.948143845167549,-0.31380160618784525
4.84,-0.2988090673205004,-2.9540102663917733,-0.2958869074033152
4.85,-0.28041191350022543,-2.9595311102751856,-0.27787325966850895
4.86,-0.2619608733146733,-2.9647050908065666,-0.2597668472928171
4.87,-0.24345953918819935,-2.969530921974697,-0.24157385458563518
4.88,-0.2249115035451534,-2.9740073177683577,-0.22330046585635382
4.89,-0.20632035880988722,-2.97813299217633,-0.20495286541436522
4.9,-0.1876896974067508,-2.981906659187396,-0.18653723756906015
4.91,-0.16902311176009915,-2.9853270327903356,-0.16805976662983402
4.92,-0.15032419429428234,-2.9883928269739304,-0.14952663690607748
4.93,-0.1315965374336519,-2.991102755726961,-0.13094403270718286
4.94,-0.11284373360255817,-2.9934555330382087,-0.11231813834254074
4.95,-0.09406937522535594,-2.9954498728964554,-0.09365513812154666
4.96,-0.07527705472639513,-2.997084489290481,-0.07496121635359125
4.97,-0.0564703645300277,-2.998358096209067,-0.05624255734806674
4.98,-0.03765289706060347,-2.999269407640995,-0.037505345414363914
4.99,-0.018828244742477573,-2.9998171375750458,-0.018755764861878063
5.0,0.0,-3.0,0.0
5.01,0.018828244742477594,-2.9998171375750458,0.018755764861878056
5.02,0.0376528970606035,-2.999269407640995,0.03750534541436385
5.03,0.056470364530027704,-2.998358096209067,0.056242557348066775
5.04,0.07527705472639518,-2.9970844892904807,0.07496121635359125
5.05,0.09406937522535588,-2.995449872896455,0.09365513812154666
5.06,0.11284373360255816,-2.993455533038209,0.11231813834254073
5.07,0.131596537433652,-2.9911027557269607,0.13094403270718288
5.08,0.15032419429428232,-2.98839282697393,0.1495266369060775
5.09,0.16902311176009915,-2.985327032790335,0.16805976662983402
5.1,0.1876896974067508,-2.981906659187396,0.18653723756906018
5.11,0.20632035880988722,-2.97813299217633,0.20495286541436528
5.12,0.22491150354515344,-2.9740073177683573,0.22330046585635382
5.13,0.24345953918819935,-2.969530921974697,0.24157385458563524
5.14,0.2619608733146734,-2.964705090806566,0.2597668472928172
5.15,0.2804119135002254,-2.9595311102751856,0.27787325966850895
5.16,0.29880906732050044,-2.9540102663917738,0.29588690740331525
5.17,0.3171487423511485,-2.948143845167549,0.31380160618784525
5.18,0.3354273461678179,-2.9419331326137304,0.3316111717127067
5.19,0.35364128634615843,-2.935379414741537,0.34930941966850904
5.2,0.3717869704618154,-2.9284839775621876,0.36689016574585676
5.21,0.38986080609043855,-2.921248107086902,0.3843472256353591
5.22,0.4078592008076763,-2.9136730893268976,0.40167441502762397
5.23,0.4257785621891784,-2.9057602102933937,0.4188655496132605
5.24,0.4436152978105902,-2.89751075599761,0.43591444508287336
5.25,0.4613658152475614,-2.8889260124507654,0.4528149171270719
5.26,0.4790265220757404,-2.8800072656640783,0.4695607814364638
5.27,0.4965938258707757,-2.8707558016487673,0.4861458537016569
5.28,0.5140641342083169,-2.861172906416051,0.5025639496132602
5.29,0.5314338546640092,-2.85125986597715,0.5188088848618786
5.3,0.5486993948135026,-2.841017966343282,0.5348744751381214
5.31,0.5658571622324454,-2.830448493525666,0.5507545361325962
5.32,0.5829035644964874,-2.81955273353552,0.5664428835359122
5.33,0.5998350091812737,-2.808331972384065,0.5819333330386743
5.34,0.6166479038624546,-2.7967874960825188,0.5972197003314916
5.35,0.633338656115678,-2.7849205906421006,0.612295801104972
5.36,0.6499036735165936,-2.7727325420740274,0.6271554510497243
5.37,0.6663393636408471,-2.760224636389521,0.6417924658563537
5.38,0.6826421340640882,-2.747398159599799,0.6562006612154695
5.39,0.6988083923619652,-2.734254397716081,0.6703738528176791
5.4,0.7148345461101278,-2.7207946367495834,0.6843058563535918
5.41,0.7307170028842213,-2.7070201627115282,0.6979904875138123
5.42,0.7464521702598957,-2.692932261613133,0.7114215619889502
5.43,0.7620364558127993,-2.678532219465617,0.7245928954696129
5.44,0.7774662671185817,-2.663821322280197,0.7374983036464093
5.45,0.7927380117528883,-2.648800856068096,0.750131602209945
5.46,0.807848097291369,-2.63347210684053,0.7624866068508288
5.47,0.8227929313096721,-2.617836360608719,0.7745571332596682
5.48,0.8375689213834473,-2.6018949033838794,0.7863369971270723
5.49,0.8521724750883399,-2.5856490211772343,0.7978200141436467
5.5,0.8666,-2.5691,0.809
5.51,0.8808481449184273,-2.5522494741225836,0.8198716194961325
5.52,0.8949145235410289,-2.535100470852141,0.8304329338696129
5.53,0.908796990789564,-2.517656365755013,0.8406828534674037
5.54,0.9224934015857886,-2.499920534397547,0.8506202886364641
5.55,0.9360016108514629,-2.481896352346084,0.8602441497237568
5.56,0.949319473508345,-2.4635871951669683,0.8695533470762429
5.57,0.9624448444781945,-2.4449964384265397,0.8785467910408842
5.58,0.9753755786827674,-2.426127457691147,0.887223391964641
5.59,0.9881095310438234,-2.40698362852713,0.8955820601944751
5.6,1.000644556483121,-2.387568326500834,0.9036217060773478
5.61,1.0129785099224198,-2.3678849271785976,0.9113412399602212
5.62,1.0251092462834759,-2.3479368061267705,0.9187395721900553
5.63,1.0370346204880485,-2.3277273389116924,0.9258156131138121
5.64,1.0487524874578973,-2.307259901099707,0.9325682730784528
5.65,1.06026070211478,-2.2865378682571564,0.9389964624309395
5.66,1.0715571193804545,-2.265564615950387,0.9450990915182321
5.67,1.082639594176679,-2.2443435197457404,0.9508750706872928
5.68,1.0935059814252133,-2.2228779552095594,0.9563233102850826
5.69,1.1041541360478155,-2.201171297908186,0.9614427206585636
5.7,1.1145819129662429,-2.1792269234079673,0.9662322121546962
5.71,1.1247871671022547,-2.157048207275244,0.9706906951204419
5.72,1.1347677533776095,-2.13463852507636,0.9748170799027622
5.73,1.1445215267140665,-2.112001252377657,0.9786102768486189
5.74,1.154046342033382,-2.0891397647454806,0.9820691963049725
5.75,1.163340054257316,-2.066057437746174,0.9851927486187846
5.76,1.1724005183076263,-2.0427576469460793,0.9879798441370163
5.77,1.1812255891060717,-2.01924376791154,0.9904293932066298
5.78,1.1898131215744114,-1.9955191762088973,0.9925403061745858
5.79,1.1981609706344023,-1.971587247404499,0.9943114933878453
5.8,1.2062669912078032,-1.9474513570646863,0.9957418651933699
5.81,1.2141290382163734,-1.923114880755802,0.9968303319381216
5.82,1.2217449665818714,-1.8985811940441877,0.9975758039690608
5.83,1.229112631226054,-1.8738536724961907,0.997977191633149
5.84,1.2362298870706812,-1.848935691678152,0.9980334052773479
5.85,1.2430945890375107,-1.8238306271564153,0.9977433552486189
5.86,1.2497045920483019,-1.7985418544973217,0.9971059518939226
5.87,1.2560577510248119,-1.7730727492672183,0.9961201055602208
5.88,1.2621519208887997,-1.7474266870324464,0.9947847265944751
5.89,1.2679849565620236,-1.7216070433593496,0.9930987253436464
5.9,1.273554712966243,-1.6956171938142686,0.991061012154696
5.91,1.2788590450232151,-1.6694605139635514,0.9886704973745856
5.92,1.2838958076546987,-1.6431403793735389,0.9859260913502761
5.93,1.2886628557824524,-1.6166601656105748,0.9828267044287293
5.94,1.2931580443282351,-1.590023248240999,0.9793712469569059
5.95,1.2973792282138044,-1.5632330028311605,0.9755586292817678
5.96,1.3013242623609191,-1.5362928049474,0.9713877617502761
5.97,1.3049910016913373,-1.5092060301560608,0.9668575547093924
5.98,1.3083773011268183,-1.4819760540234836,0.9619669185060771
5.99,1.3114810155891197,-1.4546062521160164,0.9567147634872926
6.0,1.3143,-1.4271,0.9511
6.01,1.3168324955838113,-1.3994608123346224,0.9451225387535912
6.02,1.319078288775278,-1.3716927601504465,0.9387862919071825
6.03,1.3210375523117186,-1.3438000535708787,0.9320961719823203
6.04,1.3227104589304501,-1.3157869027193316,0.9250570915005524
6.05,1.3240971813687912,-1.2876575177192107,0.9176739629834254
